timestamp,time_utc,up_price,down_price,combined,up_volume,down_volume,trades
1767953988,10:19:48,0.6554089618768715,0.3451845637685212,1.0005935256453926,111.173431,105.984832,46
1767953990,10:19:50,0.6676080631877721,0.33269648962396026,1.0003045528117323,445.607482,464.18924400000003,67
1767953992,10:19:52,0.6691290136881791,0.33274658453737543,1.0018755982255545,944.3419819999999,994.8476599999998,116
1767953994,10:19:54,0.6734971041395005,0.3252961204151843,0.9987932245546848,649.036271,550.2155260000001,46
1767953996,10:19:56,0.6682924024525638,0.33086246692615445,0.9991548693787182,202.948927,218.73892699999996,53
1767953998,10:19:58,0.6647403017849507,0.32996945852063525,0.9947097603055859,70.683909,154.67390899999998,24
1767954000,10:20:00,0.6608755000188697,0.33947048066257524,1.000345980681445,136.72484000000003,131.729769,26
1767954002,10:20:02,0.6632111203082233,0.3361514334207692,0.9993625537289925,53.751172,59.321172000000004,15
1767954004,10:20:04,0.6752143550746806,0.32750457063427507,1.0027189257089557,279.77061,274.19061000000005,50
1767954006,10:20:06,0.6765816062969336,0.324195635368873,1.0007772416658067,312.90404,252.60279,52
1767954008,10:20:08,0.6689433644697828,0.33173448799312755,1.0006778524629103,413.226413,335.331788,60
1767954010,10:20:10,0.6738991006672747,0.3263951584455822,1.0002942591128567,266.652923,408.036558,47
1767954012,10:20:12,0.6768153407103303,0.3247653183571575,1.0015806590674878,39.220296,51.063325000000006,26
1767954014,10:20:14,0.6767485971206618,0.32619423833786615,1.002942835458528,56.621762,62.961762,22
1767954016,10:20:16,0.6751476566338639,0.3258521701524606,1.0009998267863245,65.04177800000001,85.54177799999998,35
1767954018,10:20:18,0.674032983941234,0.3268530383317081,1.000886022272942,41.897055,42.317055,22
1767954020,10:20:20,0.6736627023672557,0.3279731712570887,1.0016358736243443,93.068231,117.211008,35
1767954022,10:20:22,0.6759672021349132,0.3253212179809602,1.0012884201158734,110.15717,83.48481899999999,36
1767954024,10:20:24,0.6864485556374034,0.31421885776845077,1.0006674134058542,427.05879500000003,476.3612949999999,43
1767954026,10:20:26,0.6828902860471946,0.3156314382829293,0.9985217243301239,42.420867,73.29836700000001,21
1767954028,10:20:28,0.6832110215615202,0.3176217084950039,1.000832730056524,105.072879,141.862879,26
1767954030,10:20:30,0.6810859300006183,0.31878154585015656,0.9998674758507748,360.740158,362.54015799999996,24
1767954032,10:20:32,0.6871985874306191,0.3127900934369863,0.9999886808676055,1232.467887,1237.467887,29
1767954034,10:20:34,0.687713978830014,0.3122860211699861,1.0,91.589668,91.589668,16
1767954036,10:20:36,0.6896868780626247,0.3103131219373752,1.0,255.493469,255.493469,26
1767954038,10:20:38,0.6953411995822212,0.3050645267805176,1.0004057263627388,1998.4802020000004,2061.460202,85
1767954040,10:20:40,0.7136592815928021,0.28692756862904784,1.00058685022185,736.4653940000001,674.077618,40
1767954042,10:20:42,0.7149370977413861,0.2861950872239063,1.0011321849652925,158.760118,122.481788,16
1767954044,10:20:44,0.7262289035435079,0.2731747094329541,0.999403612976462,326.5738610000001,305.363861,43
1767954046,10:20:46,0.7270952410042202,0.2720992214380822,0.9991944624423024,163.647487,178.807487,37
1767954048,10:20:48,0.727069179361512,0.2729229782796512,0.9999921576411632,225.602458,225.352458,33
1767954050,10:20:50,0.740542880009708,0.25939937523812784,0.9999422552478359,312.041219,282.04121900000007,60
1767954052,10:20:52,0.7450342517147844,0.2547940695086701,0.9998283212234546,41.846664,40.466664,15
1767954054,10:20:54,0.7493285586392121,0.25081128921231194,1.000139847851524,245.74,203.38,14
1767954056,10:20:56,0.7443935445387133,0.25464400950102023,0.9990375540397336,50.40742800000001,60.854096000000006,21
1767954058,10:20:58,0.7566251657088335,0.24627963503375105,1.0029048007425847,101.40753899999999,96.730698,26
