wallet,market_slug,market_question,winning_outcome,id,timestamp,datetime,side,outcome,shares,usdc,price,role,tx_hash,fee
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0x2e59d3b2b4eca26458255d84514cb8a0a3c503d7f63e63d595f94839825606f9_0xb0b4c79fb93cd1a7d093621e6841350912a2b63611e381f09d4e10c277e4d18e,1768030180,2026-01-10T08:29:40,BUY,Up,14.0,7.84,0.5599999999999999,maker,0x2e59d3b2b4eca26458255d84514cb8a0a3c503d7f63e63d595f94839825606f9,1.1
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0x2e59d3b2b4eca26458255d84514cb8a0a3c503d7f63e63d595f94839825606f9_0xeb229de3a2c6cb554b41c72f9d4ef6192b204ddc33922b092043ada0288b855a,1768030180,2026-01-10T08:29:40,BUY,Up,14.0,7.56,0.5399999999999999,maker,0x2e59d3b2b4eca26458255d84514cb8a0a3c503d7f63e63d595f94839825606f9,1.192592
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0x2e59d3b2b4eca26458255d84514cb8a0a3c503d7f63e63d595f94839825606f9_0xf652a8d26b612d32f016e8cdcdbb83705989f974ddd2f29286d13aa78cc72f1f,1768030180,2026-01-10T08:29:40,BUY,Up,14.0,7.7,0.55,maker,0x2e59d3b2b4eca26458255d84514cb8a0a3c503d7f63e63d595f94839825606f9,1.145454
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0xdb164844ce5f6c1c95b2cf256b060d9554382d40197a8d42a6254731054a47cf_0x59a300f0ccb012ce35b17a33f1bf5d297c31df60489ff45177997b776ffdff22,1768030180,2026-01-10T08:29:40,BUY,Up,12.0,8.28,0.69,maker,0xdb164844ce5f6c1c95b2cf256b060d9554382d40197a8d42a6254731054a47cf,0.53913
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0xb1d4bc9b63ad6678f23cd4930fef5c3a9dfcc97959dfd1fc6b45d7def50a6c5f_0x5fb31e4fea8905ac6e2977ed62f808ac4b1d5b0b930c246d6b4e6af9333087ce,1768030182,2026-01-10T08:29:42,BUY,Up,14.0,10.92,0.78,maker,0xb1d4bc9b63ad6678f23cd4930fef5c3a9dfcc97959dfd1fc6b45d7def50a6c5f,0.394871
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0xcf2a03ac57c8b9563063ac544ab16104d847cdced568e072304a02d4891e4c4f_0x59a300f0ccb012ce35b17a33f1bf5d297c31df60489ff45177997b776ffdff22,1768030182,2026-01-10T08:29:42,BUY,Up,2.0,1.38,0.69,maker,0xcf2a03ac57c8b9563063ac544ab16104d847cdced568e072304a02d4891e4c4f,0.089855
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0x09043a3b4e65f2961398233992bb09c7cce704f6dbd6243c6770d0166a648bce_0xec6a3915283506c75e620c72c6ca8b2e142f85227656ae6fe9456613d57544ae,1768030182,2026-01-10T08:29:42,BUY,Down,5.0,1.35,0.27,maker,0x09043a3b4e65f2961398233992bb09c7cce704f6dbd6243c6770d0166a648bce,0.5
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0x993750d476e7ac6c4c5d8d273d13b81728c7709459f8b8311f06d1a7f21e9cba_0xec6a3915283506c75e620c72c6ca8b2e142f85227656ae6fe9456613d57544ae,1768030182,2026-01-10T08:29:42,BUY,Down,9.0,2.43,0.27,maker,0x993750d476e7ac6c4c5d8d273d13b81728c7709459f8b8311f06d1a7f21e9cba,0.9
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0x52d42d5be57063bd687780339e777988e6e3b2a1a21a66834339b94f19a15566_0xdca74580092aa9d4d9a668a41f4d5d683fc7bf5e717158688a0f0f6b4ecd260e,1768030184,2026-01-10T08:29:44,BUY,Up,5.0,3.85,0.77,maker,0x52d42d5be57063bd687780339e777988e6e3b2a1a21a66834339b94f19a15566,0.14935
0x6031b6eed1c97e853c6e0f03ad3ce3529351f96d,btc-updown-15m-1768029300,"Bitcoin Up or Down - January 10, 2:15AM-2:30AM ET",up,0xb8acdc4493ea798a64e572dabbe2c1c0e2bc39ec843b802eea2aaba9ad34c10c_0x45cbf3db2865f4be730e80e5e9a36b85f1e5160157ee7c252a752eb56e2ce117,1768030184,2026-01-10T08:29:44,BUY,Up,14.0,10.5,0.75,maker,0xb8acdc4493ea798a64e572dabbe2c1c0e2bc39ec843b802eea2aaba9ad34c10c,0.466666
